pallet_id,length_cm,width_cm,height_cm,type
2322061,56.7,29.2,37.3,2
2322061,42.5,32.1,32.7,2
2322061,38.9,29.2,19.1,2
2322061,38.9,29.2,19.1,2
2322061,42.5,32.1,32.7,2
2322061,56.7,29.2,37.3,2
2322061,35.5,25.1,28.6,2
2322061,35.7,21.8,29.4,2
2322061,42.5,32.1,32.7,2
2322061,42.5,32.1,32.7,2
2322061,56.7,29.2,37.3,2
2322061,56.7,29.2,37.3,2
2322061,56.7,29.2,37.3,2
2322061,45.5,27.5,25,1
2322061,45.5,27.5,25,1
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,18,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,28,0
2322061,28.4,15.2,12.6,2
2322061,50,30,28,0
2322061,50,30,28,0
2322061,50,30,18,0
2322061,50,30,28,0
2322061,50,30,18,0
2322061,50,30,18,0
2322061,50,30,28,0
2322061,50,30,18,0
2322061,50,30,28,0
2322061,38,28.1,23.4,2
2322061,50,30,18,0
2322061,50,30,18,0
2322061,50,30,18,0
2322061,30.2,23.2,19.3,2
2322061,50,30,18,0
2322061,44.4,22,16.8,2
2322061,45.5,27.5,25,1
2322061,44.4,22,16.8,2
2322061,44.4,22,16.8,2
2322061,44.4,22,16.8,2
2322061,50,30,18,0
2322061,50,30,18,0
2322061,50,30,18,0
2322061,50,30,18,0
2322061,50,30,18,0
2322061,50,30,28,0
2322061,19.4,13.6,11.7,2
2322061,50,30,28,0
2322061,45.5,27.5,18,1
2322072,19.5,12.3,13.3,2
2322072,45.5,27.5,18,1
2322072,14.5,12.5,23,2
2322072,14.5,12.5,23,2
2322072,14.5,12.5,23,2
2322072,14.5,12.5,23,2
2322072,14.5,12.5,23,2
2322072,45.5,27.5,18,1
2322072,14.5,12.5,23,2
2322072,14.5,12.5,23,2
2322072,45.5,27.5,25,1
2322072,14.5,12.5,23,2
2322072,50,30,18,0
2322072,45.5,27.5,18,1
2322072,20.6,16.3,21.9,2
2322072,14.5,12.5,23,2
2322072,14.5,12.5,23,2
2322072,45.5,27.5,25,1
2322072,21.8,19.6,24.4,2
2322072,21,16.6,21.8,2
2322072,45.5,27.5,25,1
2322072,19.4,13.5,11.8,2
2322072,19.9,14.9,12.5,2
2322072,28.8,17.1,21.9,2
2322072,20.2,12.1,13.2,2
2322072,23.2,15.5,10.9,2
2322072,14.5,12.5,23,2
2322072,45.5,27.5,25,1
2322072,15.2,10.4,25.2,2
2322072,45.5,27.5,25,1
2322072,16.6,12.5,14,2
2322072,20.6,15.8,21.3,2
2322072,45.5,27.5,18,1
2322072,20.1,12.4,12.6,2
2322072,45.5,27.5,25,1
2322072,45.2,34.9,22.8,2
2322072,19.8,14.4,13.1,2
2322072,52.8,27.3,15.3,2
2322072,39.5,26.5,34,2
2322072,41.8,31,26.2,2
2322072,50,30,28,0
2322072,45.5,27.5,18,1
2322072,50,30,28,0
2322072,39.5,26.5,34,2
2322072,41.8,31,26.2,2
2322072,41.8,31,26.2,2
2322072,50,30,18,0
2322072,45.5,27.5,25,1
2322072,41.1,31.4,26,2
2322072,42.1,31.4,26.1,2
2322072,38,29.9,30,2
2322072,45.5,27.5,25,1
2322072,42.1,31.4,26.1,2
2322072,45.5,27.5,25,1
2322072,39.8,26.4,33.8,2
2322072,49.5,38.9,43.3,2
2322072,23.2,15,11.1,2
2322072,39.5,26.5,34,2
2322072,42.1,31.4,26.1,2
2322072,38,29.9,30,2
2322072,19.3,13.8,11.6,2
2322072,31.5,42,25.5,2
2322072,45,34.1,19.3,2
2322072,42.1,31.4,26.1,2
2322072,50,30,18,0
2322072,31.5,42,25.5,2
2322072,25.1,14.8,12.7,2
2322072,40.4,26.8,33.6,2
2322072,36,18.3,11.9,2
2322072,28.8,17.1,21.9,2
2322072,39.8,26.4,33.8,2
2322072,38,29.9,30,2
2322072,40.4,26.8,33.6,2
2322072,39.8,26.4,33.8,2
2322072,45.5,27.5,18,1
2322077,45.5,27.5,25,1
2322077,50,30,28,0
2322077,40.4,27.2,33.7,2
2322077,40.4,27.2,33.7,2
2322077,27,37,33,2
2322077,50,30,28,0
2322077,40.4,27.2,33.7,2
2322077,45.5,27.5,18,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,50,30,28,0
2322077,50,30,18,0
2322077,50,30,28,0
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,25,1
2322077,50,30,28,0
2322077,45.5,27.5,18,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,22.2,22,21.9,2
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2322077,50,30,18,0
2322077,50,30,28,0
2322077,50,30,28,0
2322077,50,30,18,0
2322077,50,30,28,0
2322077,50,30,28,0
2322077,50,30,28,0
2322077,50,30,28,0
2322077,50,30,28,0
2322077,50,30,28,0
2322077,50,30,18,0
2322077,50,30,28,0
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,50,30,28,0
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2322077,50,30,28,0
2322077,50,30,28,0
2322077,45.5,27.5,25,1
2322077,33,13.7,17.7,2
2322077,45.5,27.5,25,1
2322077,33,13.7,17.7,2
2322077,45.5,27.5,25,1
2322077,45.5,27.5,25,1
2322077,45.5,27.5,18,1
2322077,39.8,26.4,33.8,2
2322077,45.5,27.5,18,1
2322077,41.1,31.4,26,2
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2322077,31.5,42,25.5,2
2322077,41,30.5,20.1,2
2322077,39.8,26.4,33.8,2
2322077,39.8,26.4,33.8,2
2322077,45.5,27.5,25,1
2322077,50,30,28,0
2322077,45.5,27.5,18,1
2322077,45.5,27.5,18,1
2283097,45.5,27.5,18,1
2283097,45.5,27.5,25,1
2283097,42.1,31.4,26.1,2
2283097,42.1,31.4,26.1,2
2283097,40.4,26.8,33.6,2
2283097,42.1,31.4,26.1,2
2283097,42.1,31.4,26.1,2
2283097,39.5,26.5,34,2
2283097,39.5,26.5,34,2
2283097,41.8,31,26.2,2
2283097,41.8,31,26.2,2
2283097,41.8,31,26.2,2
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,18,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,18,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,18,0
2283097,50,30,18,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,18,0
2283097,50,30,28,0
2283097,50,30,18,0
2283097,50,30,18,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,18,0
2283097,50,30,18,0
2283097,50,30,18,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,50,30,28,0
2283097,45.5,27.5,25,1
2283097,50,30,28,0
2283097,50,30,18,0
2283097,45.5,27.5,25,1
2283097,45.5,27.5,18,1
2283097,45.5,27.5,25,1
2283097,50,30,28,0
2283097,45.5,27.5,25,1
2283097,50,30,28,0
2283097,45.5,27.5,25,1
2283097,45.5,27.5,25,1
2283097,50,30,28,0
2283097,45.5,27.5,25,1
2283097,45.5,27.5,18,1
2283097,29.7,20.8,23.5,2
2283097,45.5,27.5,18,1
2283097,45.5,27.5,25,1
2283097,19.9,14.9,12.5,2
2283097,45.5,27.5,25,1
2283097,45.5,27.5,25,1
2283097,45.5,27.5,25,1
2283097,45.5,27.5,25,1
